variavel;teste;estatistica_ou_V;pvalor;medida_efeito;valor_efeito
logGasto;ANOVA;2765,40;<0,001;η²;0,138
logGasto;Kruskal;5512,29;<0,001;ε²;0,159
logPernoite;ANOVA;19698,75;<0,001;η²;0,532
logPernoite;Kruskal;18705,06;<0,001;ε²;0,540
idade_mediana;ANOVA;20803,04;<0,001;η²;0,546
idade_mediana;Kruskal;19307,71;<0,001;ε²;0,557
primeira_vez;Qui2_CramersV;0,15;<0,001;V;0,149
continente;Qui2_CramersV;0,30;<0,001;V;0,304
nomMotivo;Qui2_CramersV;0,40;<0,001;V;0,402
nomHospedagem;Qui2_CramersV;0,42;<0,001;V;0,423
